,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2020/10/9,2308,1645,1426,1064,848,798,1771,4233,6689,11135,21212,29139,30781,28904,28109,26362,18332,13820,8498,5341,3352,2830,1904,1409
2020/10/10,1709,1348,776,984,397,837,1298,2764,7176,13123,24509,38468,33697,34665,33322,27233,19034,12690,7738,4331,2928,2276,2048,1948
2020/10/12,1490,820,624,698,643,1017,2387,4369,8653,13282,27868,35391,39700,36542,38727,32118,28293,19624,8891,4414,3308,2409,1926,1690
2020/10/13,1280,934,884,913,764,885,2064,4709,7111,11779,23567,30212,32774,33229,33328,28963,26385,18246,9759,4905,2871,2258,1655,2152
2020/10/14,1664,1255,1296,1240,843,1193,1812,4199,6624,12019,25254,32037,32270,33020,31084,29109,26045,17171,9737,5284,3538,3015,1909,2560
2020/10/15,1717,1319,1045,933,538,1069,1658,4353,7305,11338,22599,29965,32910,29782,33776,27543,24115,14984,8493,5093,2612,2430,1587,1634
2020/10/16,1441,1225,960,1234,1823,921,1896,4487,8841,13963,27488,34778,38678,38574,40940,35967,32338,20949,10825,6392,3820,3364,3089,3109
2020/10/19,1120,1076,648,600,721,1164,2086,4807,7397,15801,33147,40151,42830,41329,39952,34634,26978,16991,9358,4999,2396,2742,2042,2685
2020/10/20,2370,1633,1530,1208,673,817,2066,4479,8037,15985,29285,37561,39455,42187,42680,35440,31438,23067,12457,7018,4286,4085,3749,3819
2020/10/21,2777,3007,2669,1840,959,1601,1959,4122,7682,14871,29585,40462,43867,39374,43131,38424,33909,24240,12852,5538,3039,2800,2019,1994
2020/10/22,2077,1347,1225,831,563,946,1674,3916,8889,15772,26107,37240,37378,35994,37718,31044,25165,17281,9297,5223,3245,2388,2075,1844
2020/10/23,1421,1148,835,947,641,1043,1768,4175,7722,14527,29036,37608,38396,39065,39527,32903,27271,19369,11008,6337,3389,3827,2456,3131
2020/10/27,996,1006,899,827,616,1196,2289,5045,7487,15072,28485,38640,41725,41993,41756,36147,32434,23430,12853,6520,3761,2477,2128,2271
2020/10/28,1766,1010,762,636,763,1048,2397,4654,10176,16252,30337,42800,42250,42922,43304,35998,29840,21829,13680,5345,3123,2779,1901,1684
2020/10/29,806,853,738,521,555,1242,2098,5184,9657,16558,31218,40523,42192,42807,45072,37683,32616,24203,12818,7725,4007,3467,1950,1886
2020/10/30,1723,1508,1242,1208,1111,1042,2066,5450,9231,16358,30643,40210,42404,42599,44132,39145,33307,23501,12468,6974,5217,3063,2710,2449
2020/11/20,1749,2155,2206,1249,725,1235,2580,5937,12779,19985,36456,49073,48575,45988,45536,36709,32168,21540,10785,6927,3712,4280,3639,2848
2020/11/25,3328,2569,2928,2851,1860,1166,2669,5747,9422,16106,31416,46607,45757,44844,49374,41784,33093,23339,13422,5834,3202,2771,2189,2803
2020/11/27,2617,2450,2349,2106,1554,1047,2544,5818,9774,18503,34620,43178,45344,46148,47309,42897,35530,24363,13449,7887,4722,3404,2841,3148
2020/11/30,1981,1447,1044,1302,745,1076,2663,5578,9588,18537,31735,43886,46260,44731,46037,38085,31611,24190,13153,7207,4188,3274,3402,3854
2020/12/1,2928,2706,1911,2569,1923,1309,2658,5496,7709,13501,25831,34608,36814,37599,38196,31629,24535,18295,10324,4358,2501,2698,2224,2455
2020/12/2,3852,2396,2953,3313,1714,1404,2262,5539,7228,11656,22087,31020,32127,31730,34581,26700,20199,14564,8187,3925,2744,2675,2583,2487
2020/12/3,3141,2603,2487,2526,878,1168,2122,4837,7472,12559,22372,33210,33636,35156,36456,29644,25174,17718,9731,5552,3205,3161,4063,3616
2020/12/4,4785,3694,3557,3588,1601,1013,2166,5178,9357,15032,26644,41369,41161,41181,43734,38798,29039,18630,10391,5480,3764,2498,2802,3654
2020/12/7,837,580,501,492,568,1069,2591,5366,7637,13924,30159,42870,40939,41495,44863,33177,29487,21597,10414,5110,3572,2951,1999,2512
2020/12/8,3002,2173,2123,1267,747,1142,2211,4610,9072,11001,22865,35929,36366,35956,38168,31129,24983,17033,9270,4933,3228,1981,1972,2748
2020/12/9,3267,2533,2062,1927,874,1039,2193,4558,7787,10415,22713,31925,31190,32233,33540,29913,24397,17550,9342,4351,3001,2906,2620,3385
2020/12/10,3513,3139,3062,3206,1955,1134,1732,4171,5801,10394,21462,27254,28551,27634,29088,22741,19438,12972,8744,4406,2671,2176,1959,1952
