,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,group
2020-04-12,1136,694,585,563,526,992,1521,2083,3677,4326,5647,7957,8789,7628,6753,6004,4446,1824,2338,1907,1909,1603,1469,1124,1
2020-04-13,725,573,497,469,589,852,1695,2531,3479,4105,5311,5235,5240,4136,4008,3901,4292,3889,3169,1904,1558,1461,1123,1310,1
2020-04-14,819,469,498,388,499,966,1421,2947,3385,3782,5355,6776,5840,5876,6547,5622,5043,5553,2898,2328,1604,1608,1359,1379,1
2020-04-15,691,490,511,499,547,946,1807,3415,3890,3831,5377,6608,7071,6241,5929,5697,5055,4929,3805,2502,1528,1418,1049,993,1
2020-04-16,620,649,520,472,669,863,1652,2491,3943,4054,5185,6052,6354,5750,6341,5703,4421,4432,2936,2384,1680,1632,1460,1287,1
2020-04-17,445,361,641,517,491,902,1781,2672,3231,4292,4634,5774,5681,6405,5506,5878,5405,4845,3489,2421,1921,2168,1703,1947,1
2020-04-18,388,312,1192,471,447,780,1094,1821,2551,3010,4006,5223,4518,4282,4230,4055,4264,4255,2501,2092,1964,2283,1671,1618,1
2020-04-19,838,802,797,639,474,883,1241,1938,2975,4028,6299,8477,9423,8591,8074,7161,6608,4834,3800,2928,2418,1838,1542,1541,1
2020-04-20,930,523,720,598,778,942,1360,2534,3384,3354,5095,4820,4395,3598,3816,3880,3793,4124,3068,1946,1321,1193,920,695,1
2020-04-21,567,432,513,527,528,728,1626,2643,3166,4103,4783,5696,6029,5376,4418,4774,3604,4736,3136,2071,1387,1010,1175,1294,1
2020-04-22,544,451,437,649,682,1020,1529,2223,3637,3490,4456,5259,5240,5106,5134,5292,5157,4374,2974,2168,1207,1295,1245,894,1
2020-04-23,683,547,518,429,550,859,1576,2451,3633,4666,5948,5963,5675,5881,6044,5414,5614,4984,3519,2258,1935,1472,967,942,1
2020-04-24,1558,1045,847,544,667,968,1382,2507,3762,4695,5761,6309,6769,5989,5920,5394,4849,4501,4029,2226,1583,1514,948,971,1
2020-04-25,1247,1031,795,742,1103,885,1583,2426,3183,4344,4192,5241,6262,5551,6176,5154,4799,3614,3405,1914,1644,1690,1755,1294,1
2020-04-26,1140,1271,425,615,640,996,1606,1945,2811,3668,5097,6686,6414,6555,6205,4383,4148,2967,2581,1828,1323,1384,977,798,1
2020-04-27,719,448,538,411,539,970,1717,2671,3324,4044,4722,5017,4609,3888,4331,4367,3772,4122,2413,1922,942,889,1063,742,1
2020-04-28,628,387,563,498,588,960,1279,2271,3539,3884,4752,5268,4811,5291,5442,4061,4320,4006,2410,2425,1423,1740,959,891,1
2020-04-29,671,717,675,432,428,626,1555,1819,2513,3083,4325,5503,7329,6066,5856,5344,4471,4204,2463,2048,1360,1083,1186,1510,1
2020-04-30,1082,571,571,703,813,1057,1368,2296,2779,3415,4816,5247,4615,4636,5148,4627,2895,3737,2781,1701,1373,1246,1067,1101,1
2020-05-01,735,513,452,522,471,894,1304,2114,3292,4084,4885,6502,5100,5267,5422,4608,3486,3746,3335,1870,1448,1069,953,1287,1
2020-05-02,959,702,499,474,711,847,1532,2235,2840,2936,4149,5620,5135,4906,4415,3948,2988,2975,2595,1690,1557,1810,1369,1100,1
2020-05-03,880,916,711,515,509,823,1316,2176,3010,3854,4702,4473,4904,5137,5308,4417,4182,3442,2702,1939,1507,1196,1133,1195,1
2020-05-04,1199,1491,837,1009,726,747,883,2028,2745,3503,4879,5737,4592,4687,5669,4325,4122,3468,2124,1041,1382,1320,933,1236,1
2020-05-05,644,998,364,364,431,684,1062,1603,2633,3382,5427,6167,5474,4291,4441,4189,4579,3095,2639,1687,1637,1575,1170,1122,1
